NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
23-038,792445,B104,1,BEAM,38.74,3558.852,333.31,W,30 x 90,N - No Paint,1,3,Fab/Layout,404,0.0
23-038,792445,B104,1,BEAM,38.74,3558.852,333.31,W,30 x 90,N - No Paint,1,3,Weld,246,0.0
23-038,792448,B105,1,BEAM,41.58,4372.736,446.44,W,30 x 90,N - No Paint,1,5,Fab/Layout,1105,0.0
23-038,792453,B106,1,BEAM,22.85,652.582,107.3,W,16 x 26,N - No Paint,1,4,Fab/Layout,290,0.0
23-038,792456,B107,1,BEAM,6.99,243.68,43.05,W,16 x 26,N - No Paint,1,3,Fab/Layout,145,0.0
23-038,792459,B108,1,BEAM,47.58,3428.823,447.49,W,24 x 55,N - No Paint,1,31,Fab/Layout,609,0.0
23-038,792469,B110,1,BEAM,18.9,1299.386,169.12,W,24 x 55,N - No Paint,1,10,Fab/Layout,1029,0.0
23-038,792469,B110,1,BEAM,18.9,1299.386,169.12,W,24 x 55,N - No Paint,1,10,Weld,277,0.0
23-038,792499,B138,1,BEAM,6.99,243.68,43.05,W,16 x 26,N - No Paint,1,3,Fab/Layout,96,0.0
23-038,792513,B159,1,BEAM,9.15,126.842,30.6,W,10 x 12,N - No Paint,2,4,Fab/Layout,1644,0.90005
23-038,792513,B159,1,BEAM,9.15,126.842,30.6,W,10 x 12,N - No Paint,2,4,Material Handling,19,0.51476
23-038,792513,B159,1,BEAM,9.15,126.842,30.6,W,10 x 12,N - No Paint,2,4,Weld,1220,0.29926
23-038,792513,B159,2,BEAM,9.15,126.842,30.6,W,10 x 12,N - No Paint,2,4,Fab/Layout,449,0.90005
23-038,792513,B159,2,BEAM,9.15,126.842,30.6,W,10 x 12,N - No Paint,2,4,Material Handling,3397,1.54428
23-038,792513,B159,2,BEAM,9.15,126.842,30.6,W,10 x 12,N - No Paint,2,4,Weld,3424,0.29926
23-038,792525,B162,1,BEAM,7.71,115.205,26.82,W,10 x 12,"D - Steel, Paint All",1,2,Fab/Layout,984,0.91173
23-038,792525,B162,1,BEAM,7.71,115.205,26.82,W,10 x 12,"D - Steel, Paint All",1,2,Material Handling,301,1.5110099999999997
23-038,792525,B162,1,BEAM,7.71,115.205,26.82,W,10 x 12,"D - Steel, Paint All",1,2,Weld,468,0.11162
23-038,792527,B163,1,BEAM,7.69,242.769,41.61,W,14 x 22,"D - Steel, Paint All",1,2,Material Handling,712,2.24144
23-038,792530,B165,1,BEAM,10.3,112.938,27.61,W,10 x 12,N - No Paint,2,1,Fab/Layout,576,0.0
23-038,792530,B165,2,BEAM,10.3,112.938,27.61,W,10 x 12,N - No Paint,2,1,Fab/Layout,573,0.0
23-038,792531,B166,1,BEAM,9.61,132.342,31.94,W,10 x 12,N - No Paint,2,4,Fab/Layout,935,0.9744200000000001
23-038,792531,B166,1,BEAM,9.61,132.342,31.94,W,10 x 12,N - No Paint,2,4,Material Handling,358,1.5672
23-038,792531,B166,1,BEAM,9.61,132.342,31.94,W,10 x 12,N - No Paint,2,4,Weld,643,0.29925999999999997
23-038,792531,B166,2,BEAM,9.61,132.342,31.94,W,10 x 12,N - No Paint,2,4,Material Handling,196,0.5224
23-038,792538,B169,1,BEAM,12.57,426.219,54.84,W,10 x 33,N - No Paint,1,5,Fab/Layout,1250,2.3425599999999998
23-038,792538,B169,1,BEAM,12.57,426.219,54.84,W,10 x 33,N - No Paint,1,5,Material Handling,494,1.21426
23-038,792538,B169,1,BEAM,12.57,426.219,54.84,W,10 x 33,N - No Paint,1,5,Weld,34,0.0
23-038,792556,B175,1,BEAM,9.63,115.5,28.23,W,10 x 12,N - No Paint,1,1,Fab/Layout,1206,0.0
23-038,792616,B254,1,BEAM,20.79,669.954,124.71,W,14 x 22,"D - Steel, Paint All",1,5,Fab/Layout,5947,10.103340000000001
23-038,792616,B254,1,BEAM,20.79,669.954,124.71,W,14 x 22,"D - Steel, Paint All",1,5,Material Handling,4,1.24664
23-038,792616,B254,1,BEAM,20.79,669.954,124.71,W,14 x 22,"D - Steel, Paint All",1,5,Weld,5746,2.44194
23-038,792711,B314,1,BEAM,38.74,4123.735,423.72,W,30 x 90,N - No Paint,1,4,Fab/Layout,2915,0.0
23-038,792711,B314,1,BEAM,38.74,4123.735,423.72,W,30 x 90,N - No Paint,1,4,Weld,358,0.0
23-038,792715,B315,1,BEAM,41.58,4372.736,446.44,W,30 x 90,N - No Paint,1,5,Weld,245,0.0
23-038,792750,B325,1,BEAM,15.58,498.498,92.73,W,14 x 22,"D - Steel, Paint All",1,3,Fab/Layout,239,2.4946
